created_at,content,lang,username,Cleaning,HapusEmoji,3/Lebih,CaseFolding,Normalization,Translated_Text,Sentiment_Label,Tokenizing,Stopword_Removal,Stemming
Mon May 13 11:28:42 +0000 2024,@geloraco ini fix sih orang miskin gak bakal bisa masuk apalagi yg niat jualan di emperan IKN sekalipun pendukung mati an si wowo,in,kafy_adi,ini fix sih orang miskin gak bakal bisa masuk apalagi yg niat jualan di emperan IKN sekalipun pendukung mati an si wowo,ini fix sih orang miskin gak bakal bisa masuk apalagi yg niat jualan di emperan IKN sekalipun pendukung mati an si wowo,ini fix sih orang miskin gak bakal bisa masuk apalagi yg niat jualan di emperan IKN sekalipun pendukung mati an si wowo,ini fix sih orang miskin gak bakal bisa masuk apalagi yg niat jualan di emperan ikn sekalipun pendukung mati an si wowo,ini fix sih orang miskin gak bakal bisa masuk apalagi yang niat jualan di emperan ibu kota nusantara sekalipun pendukung mati an si wowo,"This fix is ​​that poor people will not be able to enter, especially those who sell in the uproads of the capital city of the archipelago even though the supporters are dead",Negative,"['ini', 'fix', 'sih', 'orang', 'miskin', 'gak', 'bakal', 'bisa', 'masuk', 'apalagi', 'yang', 'niat', 'jualan', 'di', 'emperan', 'ibu', 'kota', 'nusantara', 'sekalipun', 'pendukung', 'mati', 'an', 'si', 'wowo']",orang miskin masuk niat jualan emperan kota nusantara pendukung mati wowo,orang miskin masuk niat jual emper kota nusantara dukung mati wowo
Mon May 13 11:28:33 +0000 2024,@DokterTifa @gibran_tweet IKN bakal mangkrak mudah2han cepet mangkrak,in,MuchNasikhin,IKN bakal mangkrak mudah han cepet mangkrak,IKN bakal mangkrak mudah han cepet mangkrak,IKN bakal mangkrak mudah han cepet mangkrak,ikn bakal mangkrak mudah han cepet mangkrak,ibu kota nusantara bakal mangkrak mudah han cepat mangkrak,The capital city of the archipelago will be stalled easily han quickly stalled,Positive,"['ibu', 'kota', 'nusantara', 'bakal', 'mangkrak', 'mudah', 'han', 'cepat', 'mangkrak']",kota nusantara mangkrak mudah cepat mangkrak,kota nusantara mangkrak mudah cepat mangkrak
Mon May 13 11:27:51 +0000 2024,@PartaiSocmed Sama kaya pembuatan IKN pejabatnya ingin buat lingkungan/hunian mewah duitnya dari pajak masyarakat. Sesederhana itu,in,YoutaGamin2466,Sama kaya pembuatan IKN pejabatnya ingin buat lingkungan hunian mewah duitnya dari pajak masyarakat  Sesederhana itu,Sama kaya pembuatan IKN pejabatnya ingin buat lingkungan hunian mewah duitnya dari pajak masyarakat  Sesederhana itu,Sama kaya pembuatan IKN pejabatnya ingin buat lingkungan hunian mewah duitnya dari pajak masyarakat  Sesederhana itu,sama kaya pembuatan ikn pejabatnya ingin buat lingkungan hunian mewah duitnya dari pajak masyarakat  sesederhana itu,sama kaya pembuatan ibu kota nusantara pejabatnya ingin buat lingkungan hunian mewah duitnya dari pajak masyarakat sesederhana itu,"as rich as the making of the capital city of the archipelago, its officials want to make a luxurious money residential environment from public taxes that simple",Positive,"['sama', 'kaya', 'pembuatan', 'ibu', 'kota', 'nusantara', 'pejabatnya', 'ingin', 'buat', 'lingkungan', 'hunian', 'mewah', 'duitnya', 'dari', 'pajak', 'masyarakat', 'sesederhana', 'itu']",kaya pembuatan kota nusantara pejabatnya lingkungan hunian mewah duitnya pajak masyarakat sesederhana,kaya buat kota nusantara jabat lingkung huni mewah duit pajak masyarakat sederhana
Mon May 13 11:27:27 +0000 2024,@TheCurut007 IKN emg pemerintah pd mau pindah? Apalagi pejabat2nya,in,Ikhwan92,IKN emg pemerintah pd mau pindah  Apalagi pejabat nya,IKN emg pemerintah pd mau pindah  Apalagi pejabat nya,IKN emg pemerintah pd mau pindah  Apalagi pejabat nya,ikn emg pemerintah pd mau pindah  apalagi pejabat nya,ibu kota nusantara memang pemerintah pada mau pindah apalagi pejabat nya,The capital city of the archipelago is indeed the government to move especially its officials,Negative,"['ibu', 'kota', 'nusantara', 'memang', 'pemerintah', 'pada', 'mau', 'pindah', 'apalagi', 'pejabat', 'nya']",kota nusantara pemerintah pindah pejabat,kota nusantara perintah pindah jabat
Mon May 13 11:27:25 +0000 2024,@geloraco Apakah IKN di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yg boleh masuk ?,in,KimiKuma2005,Apakah IKN di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yg boleh masuk,Apakah IKN di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yg boleh masuk,Apakah IKN di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yg boleh masuk,apakah ikn di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yg boleh masuk,apakah ibu kota nusantara di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yang boleh masuk,whether the capital city of the archipelago was built to be a closed city and only certain people can enter,Positive,"['apakah', 'ibu', 'kota', 'nusantara', 'di', 'bangun', 'untuk', 'menjadi', 'kota', 'tertutup', 'dan', 'hanya', 'orang', 'tertentu', 'saja', 'yang', 'boleh', 'masuk']",kota nusantara bangun kota tertutup orang masuk,kota nusantara bangun kota tutup orang masuk
Mon May 13 11:25:13 +0000 2024,@Corporate_Slav3 oh opiniku semakin membaik soal ikn. udah ada kang gorengan gaes ,in,Lynx_verde,oh opiniku semakin membaik soal ikn  udah ada kang gorengan gaes,oh opiniku semakin membaik soal ikn  udah ada kang gorengan gaes,oh opiniku semakin membaik soal ikn  udah ada kang gorengan gaes,oh opiniku semakin membaik soal ikn  udah ada kang gorengan gaes,oh opiniku semakin membaik soal ibu kota nusantara sudah ada kang gorengan gaes,oh my opinion is getting better about the capital city of the archipelago there is already a fried kang gaes,Positive,"['oh', 'opiniku', 'semakin', 'membaik', 'soal', 'ibu', 'kota', 'nusantara', 'sudah', 'ada', 'kang', 'gorengan', 'gaes']",oh opiniku membaik kota nusantara kang gorengan gaes,oh opini baik kota nusantara kang goreng gaes
Mon May 13 11:25:08 +0000 2024,@luchitasoe @DokterTifa wakakkak... trbiasa rame dn seru bng di jkt klo di kalimntan msh bnyak hutan lebat. klo spengthuan sya IKN memng bng luas sekali dn mngkn prlu 20 thnn lgi bru bsa cukp rame,in,arfiyantd168,wakakkak    trbiasa rame dn seru bng di jkt klo di kalimntan msh bnyak hutan lebat  klo spengthuan sya IKN memng bng luas sekali dn mngkn prlu   thnn lgi bru bsa cukp rame,wakakkak    trbiasa rame dn seru bng di jkt klo di kalimntan msh bnyak hutan lebat  klo spengthuan sya IKN memng bng luas sekali dn mngkn prlu   thnn lgi bru bsa cukp rame,wakakkak trbiasa rame dn seru bng di jkt klo di kalimntan msh bnyak hutan lebat  klo spengthuan sya IKN memng bng luas sekali dn mngkn prlu thnn lgi bru bsa cukp rame,wakakkak trbiasa rame dn seru bng di jkt klo di kalimntan msh bnyak hutan lebat  klo spengthuan sya ikn memng bng luas sekali dn mngkn prlu thnn lgi bru bsa cukp rame,wakakkak trbiasa ramai dn seru bng di jakarta kalau di kalimntan masih banyak hutan lebat kalau spengthuan sya ibu kota nusantara memng bng luas sekali dn mungkin prlu thnn lagi baru bisa cukp ramai,"Wakakkak Turania is crowded and exciting in Jakarta, if in Kalimntan there are still many dense forests if the Spengthuan I am the capital city of the archipelago to be very wide and maybe there is any more that I can only be crowded",Positive,"['wakakkak', 'trbiasa', 'ramai', 'dn', 'seru', 'bng', 'di', 'jakarta', 'kalau', 'di', 'kalimntan', 'masih', 'banyak', 'hutan', 'lebat', 'kalau', 'spengthuan', 'sya', 'ibu', 'kota', 'nusantara', 'memng', 'bng', 'luas', 'sekali', 'dn', 'mungkin', 'prlu', 'thnn', 'lagi', 'baru', 'bisa', 'cukp', 'ramai']",wakakkak trbiasa ramai seru bng jakarta kalimntan hutan lebat spengthuan kota nusantara memng bng luas prlu thnn cukp ramai,wakakkak trbiasa ramai seru bng jakarta kalimntan hutan lebat spengthuan kota nusantara memng bng luas prlu thnn cukp ramai
Mon May 13 11:24:32 +0000 2024,Ada dugaan bhw Pantai Indah Kapuk / PIK tsb ke depannya menjadi Singapura di Indonesia yg Terkait IKN ke Kalimantan. Waspada dan Stoplah aset gedung kantor dll yg di DKI Jakarta di jual pd pihak ke 3 atau pd oligarki Aseng Asing aroma komunis. Mencegah lbh baik drpd di tindas! https://t.co/RP7gJanv3l,in,ForRezim,Ada dugaan bhw Pantai Indah Kapuk   PIK tsb ke depannya menjadi Singapura di Indonesia yg Terkait IKN ke Kalimantan  Waspada dan Stoplah aset gedung kantor dll yg di DKI Jakarta di jual pd pihak ke   atau pd oligarki Aseng Asing aroma komunis  Mencegah lbh baik drpd di tindas,Ada dugaan bhw Pantai Indah Kapuk   PIK tsb ke depannya menjadi Singapura di Indonesia yg Terkait IKN ke Kalimantan  Waspada dan Stoplah aset gedung kantor dll yg di DKI Jakarta di jual pd pihak ke   atau pd oligarki Aseng Asing aroma komunis  Mencegah lbh baik drpd di tindas,Ada dugaan bhw Pantai Indah Kapuk PIK tsb ke depannya menjadi Singapura di Indonesia yg Terkait IKN ke Kalimantan  Waspada dan Stoplah aset gedung kantor dll yg di DKI Jakarta di jual pd pihak ke atau pd oligarki Aseng Asing aroma komunis  Mencegah lbh baik drpd di tindas,ada dugaan bhw pantai indah kapuk pik tsb ke depannya menjadi singapura di indonesia yg terkait ikn ke kalimantan  waspada dan stoplah aset gedung kantor dll yg di dki jakarta di jual pd pihak ke atau pd oligarki aseng asing aroma komunis  mencegah lbh baik drpd di tindas,ada dugaan bhw pantai indah kapuk pik tsb ke depannya menjadi singapura di indonesia yang terkait ibu kota nusantara ke kalimantan waspada dan stoplah aset gedung kantor dan lain lain yang di dki jakarta di jual pada pihak ke atau pada oligarki aseng asing aroma komunis mencegah lebih baik drpd di tindas,There is a suspicion that Pantai Indah Kapuk PIK will become Singapore in Indonesia related to the Capital of the Archipelago to Kalimantan Waspada and stop the assets of office buildings and others in DKI Jakarta sold to parties to or on foreign aseng oligarchsOverlapping,Negative,"['ada', 'dugaan', 'bhw', 'pantai', 'indah', 'kapuk', 'pik', 'tsb', 'ke', 'depannya', 'menjadi', 'singapura', 'di', 'indonesia', 'yang', 'terkait', 'ibu', 'kota', 'nusantara', 'ke', 'kalimantan', 'waspada', 'dan', 'stoplah', 'aset', 'gedung', 'kantor', 'dan', 'lain', 'lain', 'yang', 'di', 'dki', 'jakarta', 'di', 'jual', 'pada', 'pihak', 'ke', 'atau', 'pada', 'oligarki', 'aseng', 'asing', 'aroma', 'komunis', 'mencegah', 'lebih', 'baik', 'drpd', 'di', 'tindas']",dugaan bhw pantai indah kapuk pik depannya singapura indonesia terkait kota nusantara kalimantan waspada stoplah aset gedung kantor dki jakarta jual oligarki aseng asing aroma komunis mencegah drpd tindas,duga bhw pantai indah kapuk pik depan singapura indonesia kait kota nusantara kalimantan waspada stop aset gedung kantor dki jakarta jual oligarki aseng asing aroma komunis cegah drpd tindas
Mon May 13 11:22:08 +0000 2024,IKN gorengan 3 biji,in,Corporate_Slav3,IKN gorengan   biji,IKN gorengan   biji,IKN gorengan biji,ikn gorengan biji,ibu kota nusantara gorengan biji,Capital City of Nusantara Fried Seeds,Negative,"['ibu', 'kota', 'nusantara', 'gorengan', 'biji']",kota nusantara gorengan biji,kota nusantara goreng biji
Mon May 13 11:18:40 +0000 2024,@DokterTifa Khusus watimpres nanti harus tinggal di IKN.,in,penggelitik,Khusus watimpres nanti harus tinggal di IKN,Khusus watimpres nanti harus tinggal di IKN,Khusus watimpres nanti harus tinggal di IKN,khusus watimpres nanti harus tinggal di ikn,khusus watimpres nanti harus tinggal di ibu kota nusantara,Specifically Watimpres will have to live in the capital city of the archipelago,Positive,"['khusus', 'watimpres', 'nanti', 'harus', 'tinggal', 'di', 'ibu', 'kota', 'nusantara']",khusus watimpres tinggal kota nusantara,khusus watimpres tinggal kota nusantara
