created_at;;full_text;lang;username
Mon May 13 11:28:57 +0000 2024;;@Bambangmulyonoo Bkannya IKN prnah d Kemenhan jg? Itu dpet WTP jg ga dr BPK scra kan y gagal kan proyek itu dsna..;in;SantosoAW
Mon May 13 11:28:42 +0000 2024;;@geloraco ini fix sih orang miskin gak bakal bisa masuk apalagi yg niat jualan di emperan IKN sekalipun pendukung mati an si wowo;in;kafy_adi
Mon May 13 11:28:33 +0000 2024;;@DokterTifa @gibran_tweet IKN bakal mangkrak mudah2han cepet mangkrak;in;MuchNasikhin
Mon May 13 11:27:51 +0000 2024;;@PartaiSocmed Sama kaya pembuatan IKN pejabatnya ingin buat lingkungan/hunian mewah duitnya dari pajak masyarakat. Sesederhana itu;in;YoutaGamin2466
Mon May 13 11:27:27 +0000 2024;;@TheCurut007 IKN emg pemerintah pd mau pindah? Apalagi pejabat2nya;in;Ikhwan92
Mon May 13 11:27:25 +0000 2024;;@geloraco Apakah IKN di bangun untuk menjadi kota tertutup dan hanya orang tertentu saja yg boleh masuk ?;in;KimiKuma2005
Mon May 13 11:25:13 +0000 2024;;@Corporate_Slav3 oh opiniku semakin membaik soal ikn. udah ada kang gorengan gaes ;in;Lynx_verde
Mon May 13 11:25:08 +0000 2024;;@luchitasoe @DokterTifa wakakkak... trbiasa rame dn seru bng di jkt klo di kalimntan msh bnyak hutan lebat. klo spengthuan sya IKN memng bng luas sekali dn mngkn prlu 20 thnn lgi bru bsa cukp rame;in;arfiyantd168
Mon May 13 11:24:32 +0000 2024;;Ada dugaan bhw Pantai Indah Kapuk / PIK tsb ke depannya menjadi Singapura di Indonesia yg Terkait IKN ke Kalimantan. Waspada dan Stoplah aset gedung kantor dll yg di DKI Jakarta di jual pd pihak ke 3 atau pd oligarki Aseng Asing aroma komunis. Mencegah lbh baik drpd di tindas! https://t.co/RP7gJanv3l;in;ForRezim
Mon May 13 11:22:08 +0000 2024;;IKN gorengan 3 biji;in;Corporate_Slav3
Mon May 13 11:18:40 +0000 2024;;@DokterTifa Khusus watimpres nanti harus tinggal di IKN.;in;penggelitik
Mon May 13 11:17:26 +0000 2024;;pernah ada denger kejadian serupa jg di sini:((( sumpah semenjak kerja di luar jawa makin makin melek sm ketimpangan infrastruktur akses jalan banyak yg ga layak yaAllah nangis pemerentahnya malah megahin IKN anjrit dosa bgt;in;lafndeur
Mon May 13 11:13:59 +0000 2024;;@geloraco Dia lupa kalo yang bakal mayoritas di IKN itu adalah PNS Umbi-umbian ya rakyat juga itungannya;in;si4riNew
Mon May 13 11:12:49 +0000 2024;;@DokterTifa @gibran_tweet Anak Abah bahas IKN ;in;AbdulGo35956941
Mon May 13 11:12:42 +0000 2024;;@JSTrikukuh Very easy. Krn kekuatan politik jokowi di parlemen tak ada. Jika publik mocking soal makan siang gratis yang entah jadi atau nggak itu mau tak mau IKN yg harus dikorbankan dan konsekwensi lanjutannya mangkrak. Jika mangkrak jokowi ke KPK.;in;VeritasArdentur
Mon May 13 11:10:40 +0000 2024;;@RagilSemar Contohnya warlok disekitar IKN ;in;penemusedotan
Mon May 13 11:08:53 +0000 2024;;@anindiatiep @ARSIPAJA Penduduk ikn no comment ah yang enjoy jakarta aja yang boleh komen;in;naufaltirto
Mon May 13 11:07:28 +0000 2024;;@T0M5helby Bukankah IKN juga produk @DPR_RI ? Makin aneh aja bernegara ini;in;penemusedotan
Mon May 13 11:07:20 +0000 2024;;Jalan tengah malam ke kota sebelah biar sampai pas di pagi hari eh selama perjalanan malah barengan sama truk IKN yang besar semua anjir ️;in;xlvhlxv
Mon May 13 11:07:19 +0000 2024;;sumpah gweh sngt syg sm mu awas klo sakitin hati moengil ku ini lo akan membangkitkan raja iblis!!!;in;ikn0wuu
Mon May 13 11:06:43 +0000 2024;;@limwhyu @Mdy_Asmara1701 Pajak² dinaikin diada2in BBM-lustrik-pam benaran ajiib sembako lauk pauk meroket jajan di resto juga makin mehong. Jogetin gemoy aja daahhhh. Keringet rakyat diperezzz buat mbayarin hutang jatuh tempo dan keberlanjutan ikn;in;UnpetitG
Mon May 13 11:06:24 +0000 2024;;@kidult2you smoga bukan di ikn ya kak;in;yangbaikbisa
Mon May 13 11:06:02 +0000 2024;;Ini probably akan terjadi btw. Arah2nya sudah ke sana. Sampai ada manuver narasi kapan hari yang menyatakan maksi gratis lebih murah vs IKN. Mengorbankan jokowi adalah salah satu cara paling realistik untuk menstabilkan kondisi politik at least in the first 2 years.;in;VeritasArdentur
Mon May 13 11:04:30 +0000 2024;;Cocok suruh aja Gibran Nyepi jaga IKN bersama bapaknya dan kroninya disana biar jarang dilihat orang. Kalau di Jkt ntar jd sasaran demo. JKT dan istana negara biar diurus Prabowo jd tdk risi ditunggui si Samsul.;in;AhmadLutfhii
Mon May 13 11:01:45 +0000 2024;;Realistically speaking akan better bagi prabsky untuk membiarkan IKN mangkrak. Krn bebannya nanti nggak cuma anggaran tapi jg transisi birokrasi. Berat sekali untuk konsolidasi pemerintahan baru. Lebih murah dan mudah fokus ke makan siang gratis yang memang janjinya.;in;VeritasArdentur
Mon May 13 11:00:04 +0000 2024;;Bandara hanya utk VVIP bkn utk rakyat jelas IKN untuk siapa. https://t.co/Bh0QF7gnyp;in;AbiebSyah087021
